_id,Facility ID,Location ID,Facility Type (Display Name),Permit,FacilityType,Facility Rating,Asset Name
2593,28340,344,Picnic Site,picnic,Picnic Site,None,RIVERDALE PARK WEST - Picnic Site
2594,29614,344,Fieldhouse,None,Fieldhouse,None,RIVERDALE PARK WEST - Washroom Building
2595,29614,344,Washroom Facility,None,Washroom Building,None,RIVERDALE PARK WEST - Washroom Building
2596,36304,344,Outdoor Oven,None,Outdoor Oven,None,RIVERDALE PARK WEST - Bake Oven
2597,40510,344,Bike Trail,None,Bike Trail,None,RIVERDALE PARK WEST TRAIL ( 11)
2598,40511,344,Bike Trail,None,Bike Trail,None,RIVERDALE PARK WEST TRAIL ( 12)
2599,57383,344,Pond,None,Open Water,None,RIVERDALE PARK WEST - Open Water
2600,102139,344,Bottle Filling Station,None,Water Bottle Filling Count,None,RIVERDALE PARK WEST - Drinking Water Source (  2)
2601,102139,344,Drinking Fountain,None,Drinking Fountain Count,None,RIVERDALE PARK WEST - Drinking Water Source (  2)
2602,102140,344,Drinking Fountain,None,Drinking Fountain Count,None,RIVERDALE PARK WEST - Drinking Water Source (  3)
2603,102140,344,Bottle Filling Station,None,Water Bottle Filling Count,None,RIVERDALE PARK WEST - Drinking Water Source (  3)
2604,102142,344,Dog Fountain,None,Dog Fountain Count,None,RIVERDALE PARK WEST - Drinking Water Source (  4)
2605,102142,344,Drinking Fountain,None,Drinking Fountain Count,None,RIVERDALE PARK WEST - Drinking Water Source (  4)
2606,102142,344,Bottle Filling Station,None,Water Bottle Filling Count,None,RIVERDALE PARK WEST - Drinking Water Source (  4)
2607,967680,344,Picnic Shelter,picnic,Shelter,None,RIVERDALE PARK WEST - Shade Structure (  3)
2608,1927,345,Farm/Zoo,None,Animal Attraction,None,RIVERDALE FARM
2609,13637,345,Washroom Facility,None,Washroom Building,None,RIVERDALE FARM THE MEETING HOUSE
2610,13639,345,Washroom Facility,None,Washroom Building,None,RIVERDALE FARM THE SIMPSON HOUSE
2611,29907,345,Kitchen,room,Kitchen - C,C,RIVERDALE FARM - Kitchen
2612,41024,345,Children's Garden,None,Children's Garden,None,RIVERDALE FARM - Children's Garden (  1)
2613,41025,345,Pond,None,Open Water,None,RIVERDALE FARM - Pond (  1)
2614,41904,345,Pond,None,Open Water,None,RIVERDALE FARM - Pond (  2)
2615,44662,345,Children's Garden,None,Children's Garden,None,RIVERDALE FARM - Children's Garden (  2)
2616,48436,345,Multipurpose Room,room,Room - C,C,RIVERDALE FARM DRIVE SHED - Multipurpose Room
2617,48437,345,Craft Room,room,Room-Craft,None,RIVERDALE FARM THE MEETING HOUSE - Craft Room (  1)
2618,48438,345,Craft Room,room,Room-Craft - C,C,RIVERDALE FARM THE MEETING HOUSE - Craft Room (  2)
2619,48439,345,Multipurpose Room,room,Room - B,B,RIVERDALE FARM THE MEETING HOUSE - Multipurpose Room (  1)
2620,48440,345,Multipurpose Room,room,Room - C,C,RIVERDALE FARM THE MEETING HOUSE - Multipurpose Room (  2)
2621,48441,345,Multipurpose Room,room,Room - C,C,RIVERDALE FARM THE RESIDENCE HOUSE - Multipurpose Room
2622,48442,345,Multipurpose Room,room,Room - C,C,RIVERDALE FARM THE SIMPSON HOUSE - Multipurpose Room (  3)
2623,48443,345,Multipurpose Room,room,Room - C,C,RIVERDALE FARM THE SIMPSON HOUSE - Multipurpose Room (  4)
2624,48444,345,Multipurpose Room,room,Room - C,C,RIVERDALE FARM THE SIMPSON HOUSE - Multipurpose Room (  5)
